,tms_loading,date_loading,id_vendor,vendor,os,brand,model,price,original_price,ram,memory,sim,gps,a_gps,color,display_type,display_size,carrier,battery_capacity,height,width,length,weight
0,2020-08-05 16:12:31.752880,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone 11 128,€799.00,€889.00,,128   GB,Doppia SIM  ,Sì  ,Sì  ,Nero  ,LCD  ,"6.1   """,No,,150.9   mm,75.7   mm,8.3   mm,194   g
1,2020-08-05 16:13:16.960835,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone XS Max 64GB Grigio siderale,€749.00,€1289.00,,64   GB,Doppia SIM  ,Sì  ,Sì  ,Grigio  ,OLED  ,"6.5   """,No,,157.5   mm,77.4   mm,7.7   mm,208   g
2,2020-08-05 16:14:06.035675,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone 11 128,€799.00,€889.00,,128   GB,Doppia SIM  ,Sì  ,Sì  ,Bianco  ,LCD  ,"6.1   """,No,,150.9   mm,75.7   mm,8.3   mm,194   g
3,2020-08-05 16:14:55.974979,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone SE,€549.00,€549.00,,128   GB,Dual SIM ibrida  ,Sì  ,,Nero    ,IPS  ,"4.7   """,No,,138.4   mm,67.3   mm,7.3   mm,148  
4,2020-08-05 16:15:39.260350,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone SE,€479.00,€499.00,,64   GB,Dual SIM ibrida  ,Sì  ,,Nero  ,IPS  ,"4.7   """,No,,138.4   mm,67.3   mm,7.3   mm,148   g
5,2020-08-05 16:16:19.763750,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone XR 256GB Nero,€759.00,€899.00,,256   GB,Doppia SIM  ,Sì  ,Sì  ,Nero  ,LCD  ,"6.1   """,No,,150.9   mm,75.7   mm,8.3   mm,194   g
6,2020-08-05 16:17:00.959967,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone 11 128,€799.00,€889.00,,128   GB,Doppia SIM  ,Sì  ,Sì  ,Porpora  ,LCD  ,"6.1   """,No,,150.9   mm,75.7   mm,8.3   mm,194   g
7,2020-08-05 16:17:43.981744,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone SE,€479.00,€499.00,,64   GB,Dual SIM ibrida  ,Sì  ,,Bianco    ,IPS  ,"4.7   """,No,,138.4   mm,67.3   mm,7.3   mm,148  
8,2020-08-05 16:18:24.741393,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone SE,€549.00,€549.00,,128   GB,Dual SIM ibrida  ,Sì  ,,Bianco    ,IPS  ,"4.7   """,No,,138.4   mm,67.3   mm,7.3   mm,148  
9,2020-08-05 16:19:07.178579,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone XS Max,€799.00,€1289.00,,64   GB,Doppia SIM  ,Si  ,Si  ,Grigio  ,OLED  ,"6.5   """,No,,157.5   mm,77.4   mm,7.7   mm,208   g
10,2020-08-05 16:19:51.658030,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone 11 Pro Max 256,€1306.00,€1459.00,,256   GB,Doppia SIM  ,Sì  ,Sì  ,Grigio  ,OLED  ,"6.5   """,No,,158   mm,77.8   mm,8.1   mm,226   g
11,2020-08-05 16:20:36.592524,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone 11 Pro Max 64,€1099.00,€1289.00,,64   GB,Doppia SIM  ,Sì  ,Sì  ,Grigio  ,OLED  ,"6.5   """,No,,158   mm,77.8   mm,8.1   mm,226   g
12,2020-08-05 16:21:20.175439,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone 11 64,€779.00,€839.00,,64   GB,Doppia SIM  ,Sì  ,Sì  ,Porpora  ,LCD  ,"6.1   """,No,,150.9   mm,75.7   mm,8.3   mm,194   g
13,2020-08-05 16:22:03.660271,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone 11 128,€799.00,€889.00,,128   GB,Doppia SIM  ,Sì  ,Sì  ,Rosso  ,LCD  ,"6.1   """,No,,150.9   mm,75.7   mm,8.3   mm,194   g
14,2020-08-05 16:22:52.876680,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone 11 64,€779.00,€839.00,,64   GB,Doppia SIM  ,Sì  ,Sì  ,Nero  ,LCD  ,"6.1   """,No,,150.9   mm,75.7   mm,8.3   mm,194   g
15,2020-08-05 16:23:37.624916,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone 11 Pro 64,€1044.00,€1189.00,,64   GB,Doppia SIM  ,Sì  ,Sì  ,Grigio  ,OLED  ,"5.8   """,No,,144   mm,71.4   mm,8.1   mm,188   g
16,2020-08-05 16:24:24.601146,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone 11 Pro Max 256,€1306.00,€1459.00,,256   GB,Doppia SIM  ,Sì  ,Sì  ,Oro  ,OLED  ,"6.5   """,No,,158   mm,77.8   mm,8.1   mm,226   g
17,2020-08-05 16:25:10.447480,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone 11 64,€779.00,€839.00,,64   GB,Doppia SIM  ,Sì  ,Sì  ,Bianco  ,LCD  ,"6.1   """,No,,150.9   mm,75.7   mm,8.3   mm,194   g
18,2020-08-05 16:25:57.729136,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone 11 128,€799.00,€889.00,,128   GB,Doppia SIM  ,Sì  ,Sì  ,Verde  ,LCD  ,"6.1   """,No,,150.9   mm,75.7   mm,8.3   mm,194   g
19,2020-08-05 16:26:41.515496,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone SE,€479.00,€499.00,,64   GB,Dual SIM ibrida  ,Sì  ,,Rosso    ,IPS  ,"4.7   """,No,,138.4   mm,67.3   mm,7.3   mm,148  
20,2020-08-05 16:27:23.268593,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone 11 Pro Max 256,€1305.00,€1459.00,,256   GB,Doppia SIM  ,Sì  ,Sì  ,Argento  ,OLED  ,"6.5   """,No,,158   mm,77.8   mm,8.1   mm,226   g
21,2020-08-05 16:28:13.301458,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone SE,€549.00,€555.34,,128   GB,Dual SIM ibrida  ,Sì  ,,Rosso    ,IPS  ,"4.7   """,No,,138.4   mm,67.3   mm,7.3   mm,148  
22,2020-08-05 16:28:47.778367,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone 11 Pro 256,€1199.00,€1359.00,,256   GB,Doppia SIM  ,Sì  ,Sì  ,Grigio  ,OLED  ,"5.8   """,No,,144   mm,71.4   mm,8.1   mm,188   g
23,2020-08-05 16:29:38.113801,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone 11 Pro Max 64,€1099.00,€1289.00,,64   GB,Doppia SIM  ,Sì  ,Sì  ,Oro  ,OLED  ,"6.5   """,No,,158   mm,77.8   mm,8.1   mm,226   g
24,2020-08-05 16:30:23.751274,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone XR 256GB Blu,€759.00,€899.00,,256   GB,Doppia SIM  ,Sì  ,Sì  ,Blu  ,LCD  ,"6.1   """,No,,150.9   mm,75.7   mm,8.3   mm,194   g
25,2020-08-05 16:31:04.387185,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone 11 Pro 256,€1199.00,€1359.00,,256   GB,Doppia SIM  ,Sì  ,Sì  ,Verde  ,OLED  ,"5.8   """,No,,144   mm,71.4   mm,8.1   mm,188   g
26,2020-08-05 16:31:49.822206,2020-08-05,2,Unieuro,iOS  ,APPLE,iPhone 11 Pro 256,€1199.00,€1359.00,,256   GB,Doppia SIM  ,Sì  ,Sì  ,Argento  ,OLED  ,"5.8   """,No,,144   mm,71.4   mm,8.1   mm,188   g
