,tms_loading,date_loading,id_vendor,vendor,os,brand,model,price,original_price,ram,memory,sim,gps,a_gps,color,display_type,display_size,carrier,battery_capacity,height,width,length,weight
0,2020-08-13 15:01:23.625371,2020-08-13,2,Unieuro,Android  ,Xiaomi,Redmi Note 8T 16,€179.90,€229.90,4   GB,64   GB,Doppia SIM  ,Sì  ,Sì  ,Grigio  ,IPS  ,"6.3   """,No,4000   mAh,161.15   mm,75.4   mm,8.6   mm,199.8   g
1,2020-08-13 15:02:01.698153,2020-08-13,2,Unieuro,Android  ,Samsung,Galaxy A20e,€139.90,€169.90,3   GB,32   GB,Doppia SIM  ,Sì  ,Sì  ,Nero  ,PLS  ,"5.8   """,No,3000   mAh,147.4   mm,69.7   mm,8.4   mm,141   g
2,2020-08-13 15:02:53.076178,2020-08-13,2,Unieuro,Android  ,Samsung,Galaxy A51,€268.90,€379.90,4   GB,128   GB,Doppia SIM  ,Sì  ,Sì  ,Nero  ,SAMOLED  ,"6.5   """,No,4000   mAh,158.5   mm,73.6   mm,7.9   mm,172   g
3,2020-08-13 15:03:49.773108,2020-08-13,2,Unieuro,Android  ,Samsung,Galaxy S10 Lite,€499.00,€679.00,8   GB,128   GB,Doppia SIM  ,Sì  ,Sì  ,Nero  ,SAMOLED  ,"6.7   """,No,4500   mAh,162.5   mm,75.6   mm,8.1   mm,186   g
4,2020-08-13 15:04:42.985259,2020-08-13,2,Unieuro,Android  ,Huawei,P30 lite,€229.00,€299.90,4   GB,128   GB,Dual SIM ibrida  ,Sì  ,Sì  ,Nero  ,IPS  ,"6.15   """,No,3340   mAh,152.9   mm,72.7   mm,7.4   mm,159   g
5,2020-08-13 15:05:23.049752,2020-08-13,2,Unieuro,Android  ,Samsung,Galaxy Note10 Lite,€479.00,€629.00,6   GB,128   GB,Doppia SIM  ,Sì  ,Sì  ,Blu  ,SAMOLED  ,"6.7   """,No,4500   mAh,163.7   mm,76.1   mm,8.7   mm,199   g
6,2020-08-13 15:06:11.985816,2020-08-13,2,Unieuro,Android  ,Samsung,Galaxy,€595.00,€929.00,8   GB,128   GB,Doppia SIM  ,Sì  ,Sì  ,Grigio  ,Dynamic AMOLED  ,"6.2   """,No,4000   mAh,151.7   mm,69.1   mm,7.9   mm,163   g
7,2020-08-13 15:07:25.495099,2020-08-13,2,Unieuro,Android  ,Samsung,Galaxy A20e,€139.90,€169.90,3   GB,32   GB,Doppia SIM  ,Sì  ,Sì  ,Bianco  ,PLS  ,"5.8   """,No,3000   mAh,147.4   mm,69.7   mm,8.4   mm,141   g
8,2020-08-13 15:08:18.712808,2020-08-13,2,Unieuro,Android  ,Samsung,Galaxy A30s,€189.90,€259.90,4   GB,128   GB,Doppia SIM  ,Sì  ,Sì  ,Verde  ,SAMOLED  ,"6.4   """,No,4000   mAh,158.5   mm,74.7   mm,7.8   mm,169   g
9,2020-08-13 15:08:59.725827,2020-08-13,2,Unieuro,Android  ,Huawei,P30 lite,€229.00,€299.90,4   GB,128   GB,Dual SIM ibrida  ,Sì  ,Sì  ,Blu  ,IPS  ,"6.15   """,No,3340   mAh,152.9   mm,72.7   mm,7.4   mm,159   g
